Train perplexity,Dropout 0,Dropout 0.1,Dropout 0.3,Dropout 0.5,Dropout 0.7,Dropout 0.9
Epoch 1,111.39990044463389,114.62333932339106,120.574146286821,128.48663976235437,149.1285710193215,235.33235894789664
Epoch 2,54.87375166900935,57.571394847644775,62.82920461138811,71.21467185649183,88.88869938837355,173.2421767066607
Epoch 3,45.86479437720271,48.667939872468224,54.525992498788675,63.45768924391933,81.41166372260166,170.00740866190569
Epoch 4,40.61977149871221,43.809418959309966,50.095883028995,59.52995418856646,77.72857367871734,169.1066314712924
Epoch 5,36.87282548987295,40.33980111658466,47.24938134629271,56.986662733510194,75.53692772651723,160.51244770993776
Epoch 6,29.81975652407518,37.790611004849055,45.13785244378574,55.17603485481178,74.0264141234823,153.9356693155448
Epoch 7,27.2511375354216,31.82954673649722,43.500602754603285,53.78947038376401,72.78049169457037,150.55620107546818
Epoch 8,24.989569469588247,30.038949871617184,42.17434812771311,52.58575005434726,72.05347813469938,148.09307056993717
Epoch 9,24.235987426638975,28.28413170279109,41.064635979650824,51.66678388355754,71.41095157053788,146.18600884264356
Epoch 10,23.94131278933718,27.68438486962461,36.92992586930669,50.78504095473155,66.96835516696432,144.76114388824814
Epoch 11,23.83714246058597,27.169726347972528,35.601164132524936,50.04256017085368,64.85230395527448,143.19762632397078
Epoch 12,23.80887646913337,27.0372082556848,34.93923483108818,49.44749757692181,63.775330851236795,141.9101303819288
Epoch 13,23.80170608296291,26.91305242101678,34.387653114245296,48.9305715481339,63.00884179130753,140.7161621755324
Epoch 14,23.799972462503025,26.80611616031292,33.401832069412634,48.536563582937504,62.3621161524666,139.56891380973877
Epoch 15,23.798584247713286,26.675820269364575,33.07135508378419,48.07466171069568,61.904832835372325,138.69773742552744
Epoch 16,23.797209639629862,26.599949054754028,32.805593939208634,47.68576069244399,61.41976593218796,137.74728300626282
Epoch 17,23.795848980418594,26.620573162500467,32.650362907567875,47.345111304721776,61.00213271568701,137.04888298988345
Epoch 18,23.79450081748389,26.57636811599052,32.424985056066085,44.17810022353742,60.68813854676196,136.14903960172234
Epoch 19,23.79316512093031,26.520626095182365,32.27316615174436,42.9678938597107,60.29833837535896,135.5516279146467
Epoch 20,23.79184129420214,26.5250545288408,32.28003151876341,42.44404171146378,59.93498254060084,132.77854586750627
Epoch 21,23.790528996444586,26.519995932047667,32.17974081291523,42.05255416118397,59.65709242630411,131.34278476971608
Epoch 22,23.78922762580331,26.502306540260083,32.14587822756574,41.659313929454896,59.34039229008074,130.93352220681646
Epoch 23,23.787937147164,26.48375750296481,32.05432344448841,41.34045858793827,59.1016301164984,130.0424466547448
Epoch 24,23.786656969981017,26.47898735090052,32.03614544557177,40.69241034823695,58.79883697385045,129.90468068281942
Epoch 25,23.78538699817663,26.487571850880183,32.05257447277605,40.44201162121301,58.58810468191173,129.48376652121522
